label,title,belief,confidence,updated,pillars,ac_score,cp_score,ce_score,ac_label,cp_label,ce_label,today_state,details,priority_human,priority_ai,project_outcome,project_acceptance,project_ref,project_action,project_measure,project_start,project_target,project_days_per_week,project_benefit,pole_ac,pole_ce,pole_cx,priority_user,project_type,duration
title,,Solution Keepers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mode,,business,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pillar_name:1,,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pillar_name:2,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pillar_name:3,,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,"Thrive, Delight, Unite","We build a thriving business that funds our lives, delights customers, and unites our team in purposeful, creative work.",75.0,2025-10-26,,,,,,,,," • Two engines: A2A (Aim→Action: projects, waypoints, slices) + A2B (Action→Balance: dose rules).
 • Consent is required; ARC never auto‑starts.
 • Start low & build slow; celebrate targets; identity over intensity.
 • Micro lifecycle guardrails: one change per Sub per session; protect active projects; when a distinct new signal appears and slots are full, validate with up to two recent prompts before merge/replace; prefer Details + a small Project when unsure.",,,,,,,,,,,,2G,2P,1S,,,
pillar:1,"Safety, Clarity, Growth","We cultivate safety and clarity so each teammate thrives in a fulfilling role, shows up present, and grows together.",75.0,2025-10-26,,,,,,,,,,,,,,,,,,,,,2G,2P,1S,,,
sub:1:1,Psychological Safety Daily,"We create psychological safety where reliability, presence, and honest feedback are everyday norms.",75.0,2025-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,
micro:1:1:1,"Focused, Present Meetings","We keep meetings focused, cameras on, and attention present for shared outcomes.",78.0,2025-10-22,,1.0,1.0,2.0,leans Guided,leans Practice,leans Synchronized,"Feels great when both participants are on camera (not phones) from the start; personal, caring vibe; best when discussion‑based around people’s needs; rhythm improves when work is broken into microsteps with one weekly goal.","Both participants on camera from the start; avoid phones | Personal, caring feel | Keep materials resonant and not too technical | Discussion‑based around understanding others’ needs | Microsteps + weekly goal check‑in (“what’s the goal—how’s it going?”) keep rhythm",,,,,,,,,,,,,,,,,
micro:1:1:2,Address Concerns Early,"We address concerns early, kindly, and directly to protect trust.",78.0,2025-10-22,,1.0,1.0,1.0,leans Guided,leans Practice,leans Synchronized,Two tugs: clarify a collaborator’s fit/role and give timely feedback on a new platform; acting on both would feel good.,"Name & resolve collaborator fit/role | Give timely feedback on the new platform | Early, kind, direct keeps trust strong",P0,,,,,,,,,,,,,,,,
micro:1:1:3,Visibility Without Pressure,We keep work visible without pressure; clarity beats urgency.,75.0,2025-10-26,,,,,,,,,,,,,,,,,,,,,1G,1P,1S,,,
sub:1:2,Clear Roles & Cadence,"We design clear roles, steady cadence, and smooth handoffs.",75.0,2025-10-26,,,,,,,,," • Consent gates & queue: propose a Project when Plan Confidence ≥ 0.70 and ≥3 candidates ≥ 0.60; Slice at ≥ 0.60; fallback ≥ 0.55 only if portfolio is empty (consent required).
 • Cadence caps: 1 Q/day default; adaptive 0–2/day; '+1 booster' when a timely answer raises Plan Confidence (no back‑to‑back).
 • Dose guardrails (A2B): never increase Days and Amount simultaneously; consolidate after 3 increases; realign on two Dashes or <1.5 three‑week average.
 • When a distinct new signal emerges but the Sub is full, capture specifics in Details and propose a small Project; consider merge/replace only after recent‑prompt validation.",,,,,,,,,,,,,,,,,
