label,title,belief,confidence,updated,pillars,pole_gf,pole_pr,pole_sa,details,project_type,how_we_count,start_amount,target_amount,days_per_week,grad_step,duration,project_benefit,priority_ai,priority_user
core,Core,—,40,2024-12-04,,,,,,,,,,,,,,,
pillar,Outer Self,—,45,2024-12-04,Outer Self,,,,,,,,,,,,,,
sub,Body,—,60,2024-12-04,Outer Self,,,,,,,,,,,,,,
micro,Weight & body composition,I would be thinner,75,2024-12-04,Outer Self,,,,"User expressed desire to be thinner when asked about body changes they'd choose first.",,,,,,,,,,
micro,Bouldering & climbing practice,Pushing to near-failure at the bouldering gym brings satisfaction and great rest afterward,80,2024-12-04,Outer Self,1F,2P,2S,"User describes loving the feeling of climbing to the point of tiredness and pushing out a few more climbs. Appreciates coming close to point of failure. Enjoys not worrying about time or how long it takes on problems. Also loves socializing at the gym. The physical push followed by deep rest feels very satisfying.",,,,,,,,,,
micro,Running with purpose & structure,Training toward a race goal with a plan used to feel good; now runs lack that purposeful push,70,2024-12-04,Outer Self,1G,1P,,"User misses running further with a goal (like an event) and a structured training plan. Currently hardly pushes on runs. Wants to sign up for a race and develop an easy training plan with moderate distance goals and speed drills. Identifies 10k as near-term target and half marathon as sweet spot distance—challenging but not as intense as full marathon.",,,,,,,,,,
sub,Money,—,55,2024-12-04,Outer Self,,,,,,,,,,,,,,
micro,Spending & relief-seeking patterns,Past spending was relief-seeking; current financial constraint is helping me grow,75,2024-12-04,Outer Self,1G,2P,,"User recognizes that earning a million dollars overnight would likely lead to wasteful spending like before (frequent massages, buying items, excessive travel). Sees current period of financial strain as very good for development—was seeking relief through spending. Now building skill of enjoyment through activities that align with who they want to become. Compares hypothetical windfall to being offered a hotel room at mile 5 of a marathon—would rob them of completing the goal they're on track to finish.",,,,,,,,,,
micro,Savings habit & system,Regular savings transfers feel good; system is working,80,2024-12-04,Outer Self,1F,1R,1A,"User transfers money 4x/week into dedicated savings account. Has saved over 4k CAD and feels really good about it. Spending is mostly subconscious still—spends freely on food with growing awareness. Next step is finding higher yield savings account. The daily transfer system feels easy and natural.",,,,,,,,,,
micro,Income & pricing confidence,Comfortable with big money analytically; uncertain about what I deserve to charge,65,2024-12-04,Outer Self,1F,1R,,"User has some concern about charging for Solution Keepers—questioning whether they deserve it. Also wants to start teaching English lessons online. Feels very comfortable working with large amounts analytically at work and taking risks—describes it as their wheelhouse. The more they can do that analytical/risk work with bigger amounts, the better. Clear confidence in that domain.",,,,,,,,,,
lens,Pushing to near-failure,—,70,2024-12-04,Outer Self,1F,2P,1S,"Climbing at bouldering gym to point of tiredness then pushing out more climbs; coming close to failure brings satisfaction and great rest",,,,,,,,,,
lens,Training with structure & goals,—,70,2024-12-04,Outer Self,1G,1R,,"Having a race goal and training plan to guide running; wants 10k near-term and half marathon as longer horizon",,,,,,,,,,
